Type,Block,Street Name,Postal,Latitude,Longitude,Station Name
MRT,65,BRAS BASAH ROAD,189561,1.296861686,103.8506674,Bras Basah
MRT,90,BRAS BASAH ROAD,189562,1.293657725,103.8550812,Esplanade
MRT,2,TEMASEK AVENUE,39193,1.293998569,103.86035,Promenade
MRT,20,REPUBLIC AVENUE,38970,1.299766835,103.863637,Nicoll Highway
MRT,3,STADIUM WALK,397692,1.302812468,103.8753377,Stadium
MRT,301,MOUNTBATTEN ROAD,398006,1.306201905,103.8825281,Mountbatten
MRT,201,OLD AIRPORT ROAD,397973,1.308547984,103.8890647,Dakota
MRT,30,PAYA LEBAR ROAD,409006,1.318112082,103.8930604,Paya Lebar
MRT,10,CIRCUIT LINK,378956,1.326150243,103.8892986,MacPherson
MRT,33,UPPER PAYA LEBAR ROAD,534803,1.335102085,103.888433,Tai Seng
MRT,90,BARTLEY ROAD,539788,1.342501178,103.8801779,Bartley
MRT,600,UPPER SERANGOON ROAD,534801,1.349707875,103.8735748,Serangoon
MRT,150,SERANGOON AVENUE 3,554533,1.351612171,103.8641519,Lorong Chuan
MRT,200,BISHAN ROAD,579827,1.350838988,103.848144,Bishan
MRT,60,MARYMOUNT ROAD,573993,1.348707263,103.8394231,Marymount
MRT,38,TOA PAYOH RISE,298113,1.337674508,103.8395298,Caldecott
MRT,100,CLUNY PARK ROAD,257494,1.322113736,103.8149845,Botanic Gardens
MRT,71,FARRER ROAD,268857,1.317439152,103.8073792,Farrer Road
MRT,200,HOLLAND AVENUE,278995,1.312240296,103.7963991,Holland Village
MRT,100,NORTH BUONA VISTA ROAD,139345,1.307223708,103.7902535,Buona Vista
MRT,9,AYER RAJAH AVENUE,138647,1.299759878,103.7874575,one-north
MRT,301,SOUTH BUONA VISTA ROAD,118177,1.293536986,103.7845724,Kent Ridge
MRT,270,PASIR PANJANG ROAD,117396,1.282571358,103.7817527,Haw Par Villa
MRT,119,PASIR PANJANG ROAD,117424,1.276213522,103.7913503,Pasir Panjang
MRT,701,TELOK BLANGAH ROAD,109029,1.272254177,103.8026316,Labrador Park
MRT,463,TELOK BLANGAH ROAD,109028,1.270706477,103.8097616,Telok Blangah
MRT,81,TELOK BLANGAH ROAD,98867,1.265389384,103.8215302,HarbourFront
MRT,11,BAYFRONT AVENUE,18957,1.281873789,103.8590798,Bayfront
MRT,21,PARK STREET,18925,1.276427354,103.8545978,Marina Bay
MRT,950,UPPER BUKIT TIMAH ROAD,678213,1.379002116,103.7615351,Bukit Panjang
MRT,1,CASHEW ROAD,679696,1.369815449,103.7644392,Cashew
MRT,510,UPPER BUKIT TIMAH ROAD,678211,1.362344868,103.7674183,Hillview
MRT,101,UPPER BUKIT TIMAH ROAD,588216,1.341223176,103.7757943,Beauty World
MRT,2,BLACKMORE DRIVE,599987,1.335662762,103.7833991,King Albert Park
MRT,777,BUKIT TIMAH ROAD,269784,1.330857645,103.7969068,Sixth Avenue
MRT,651,BUKIT TIMAH ROAD,266268,1.325556235,103.8077603,Tan Kah Kee
MRT,100,CLUNY PARK ROAD,257494,1.322113736,103.8149845,Botanic Gardens
MRT,92,STEVENS ROAD,257877,1.320065558,103.8260244,Stevens
MRT,49,SCOTTS ROAD,228234,1.312320099,103.8379853,Newton
MRT,60,BUKIT TIMAH ROAD,229900,1.306800026,103.849647,Little India
MRT,11,ROCHOR CANAL ROAD,188505,1.303852185,103.8527694,Rochor
MRT,220,VICTORIA STREET,188022,1.300465076,103.8557064,Bugis
MRT,2,TEMASEK AVENUE,39193,1.293998569,103.86035,Promenade
MRT,11,BAYFRONT AVENUE,18957,1.281873789,103.8590798,Bayfront
MRT,15,CENTRAL BOULEVARD,18969,1.27944619,103.8528404,Downtown
MRT,7,CROSS STREET,48416,1.282068948,103.8486488,Telok Ayer
MRT,91,UPPER CROSS STREET,58362,1.284223919,103.8451438,Chinatown
MRT,170,RIVER VALLEY ROAD,179038,1.292481237,103.8443311,Fort Canning
MRT,31,BENCOOLEN STREET,189658,1.298918434,103.8503538,Bencoolen
MRT,90,JALAN BESAR,208826,1.305171388,103.8552957,Jalan Besar
MRT,11,KALLANG BAHRU,339356,1.313672528,103.8629776,Bendemeer
MRT,541,KALLANG BAHRU,339355,1.321301102,103.8716226,Geylang Bahru
MRT,60,MERPATI ROAD,379314,1.326876715,103.8832475,Mattar
MRT,10,CIRCUIT LINK,378956,1.326150243,103.8892986,MacPherson
MRT,51,UBI AVENUE 2,408899,1.329974629,103.8992267,Ubi
MRT,30,KAKI BUKIT AVENUE 1,415804,1.334967302,103.9084597,Kaki Bukit
MRT,651,BEDOK NORTH ROAD,479481,1.334742117,103.9179783,Bedok North
MRT,371,BEDOK NORTH AVENUE 3,469724,1.33660783,103.9322346,Bedok Reservoir
MRT,2,TAMPINES AVENUE 4,529683,1.345515306,103.938437,Tampines West
MRT,20,TAMPINES CENTRAL 1,529538,1.353301533,103.9451447,Tampines
MRT,20,TAMPINES AVENUE 7,529623,1.356191483,103.9546345,Tampines East
MRT,690,UPPER CHANGI ROAD EAST,485990,1.341739784,103.9614726,Upper Changi
MRT,2,EXPO DRIVE,485985,1.335382526,103.9623747,Expo
MRT,20,WOODLANDS NORTH COAST ROAD,737668,1.448292453,103.7856927,Woodlands North
MRT,30,WOODLANDS DRIVE 17,737741,1.4273566,103.7932643,Woodlands South 
